No,AD_CLIENT_ID,DEPT_CODE,APPLIED_CHARGES_CLASS,PURPOSE_OF_USE_MR,CONTRACT_ORG_CODE,CONTRACT_ORG_KBN,CONTRACT_TYPE,D_ID_RENTAL_KBN,RENTAL_TERM_KBN,YEAR,MONTH,DAY,PREVIOUS_MONTH_ADJ,COUNT,SALES_AMT,RENTAL_TIME
56,1000002,3K3Y3,P1,3,3X000,5,1,7,1,2021,10,1,9,0,-7310,0
57,1000002,3K3Y3,P1,4,3K3Y3,4,3,3,1,2021,10,1,0,1,60200,336
58,1000002,3K3Y3,P2,4,3K3Y3,4,3,3,1,2021,10,1,9,-1,-81900,-305
59,1000002,3K3Y3,P2,4,3K3Y3,4,3,4,1,2021,10,1,9,0,81900,0
60,1000002,3K3Y3,PH2,1,3F000,2,6,7,Z,2021,10,1,9,0,0,0
61,1000002,3K3Y3,T0,4,3K3Y3,4,3,3,1,2021,10,1,9,0,-2572,0
62,1000002,3K3Y3,T1,4,3K3Y3,4,3,3,1,2021,10,1,0,1,4800,20
63,1000002,3K3Y3,T2,3,3TC00,1,2,7,1,2021,10,1,0,1,10109,4
64,1000002,3K3Y3,T2,4,3K3Y3,4,3,3,1,2021,10,1,9,-1,-81900,-312
65,1000002,3K3Y3,T2,4,3K3Y3,4,3,4,1,2021,10,1,9,0,81900,0
66,1000002,3K3Y3,T5,3,3TC00,1,2,7,1,2021,10,1,0,1,14500,4
67,1000002,3K3Y3,V1,3,3K3Y3,4,3,7,1,2021,10,1,0,1,13000,28
68,1000002,3K3Y3,W4,4,3K3Y3,4,3,3,3,2021,10,1,9,-1,-128000,-569
69,1000002,3K3Y3,W4,4,3K3Y3,4,3,4,2,2021,10,1,9,0,128000,0
70,1000002,3K3Z3,C1,3,3TC00,1,2,7,1,2021,10,1,0,1,16700,41
71,1000002,3K3Z3,C1,3,3X000,5,1,7,1,2021,10,1,0,1,14790,58
72,1000002,3K3Z3,C2,1,3F000,3,7,7,1,2021,10,1,0,1,42750,81
73,1000002,3K3Z3,C2,5,3K3Z3,4,3,4,2,2021,10,1,0,1,146000,480
74,1000002,3K3Z3,P0,1,3F000,3,8,7,1,2021,10,1,0,2,22346,24
